time,ssh,system,containers
1714560516,174.4922,37.50781,124.78125
1714560517,174.4922,37.50781,124.78125
1714560518,174.4922,37.50781,124.78125
1714560519,174.4961,37.50781,124.78125
1714560520,174.4961,37.50781,124.78125
1714560521,174.4961,37.52734,124.78125
1714560522,174.4961,37.52734,124.78125
1714560523,176.4805,37.52734,124.78125
1714560524,176.4805,37.52734,124.78125
1714560525,176.4805,37.53516,124.78125
1714560526,176.4805,37.53516,124.78125
1714560527,176.5859,37.53516,124.78125
1714560528,176.5859,37.53516,124.78125
1714560529,176.5859,37.53516,124.78125
1714560530,176.5859,37.53516,124.78125
1714560531,176.5859,37.53516,124.78125
1714560532,176.5859,37.53516,124.78125
1714560533,176.5859,37.53516,124.78125
1714560534,174.9219,37.53516,125.03516
1714560535,174.9219,37.53516,125.03516
1714560536,174.9219,46.21094,125.03516
1714560537,174.9219,47.60938,125.28516
1714560538,174.957,37.53906,125.54297
1714560539,174.9922,37.53906,125.54297
1714560540,174.9922,37.53906,125.54297
1714560541,174.9922,37.53906,125.54297
1714560542,174.9922,37.53906,125.80078
1714560543,174.9922,35.46094,125.80078
1714560544,174.9922,35.46094,125.80078
1714560545,174.9922,35.46094,125.80078
1714560546,175.0391,35.46094,125.80078
1714560547,175.0391,35.46094,125.80078
1714560548,175.0391,35.46094,125.80078
1714560549,175.0391,35.46094,125.80078
1714560550,175.0391,35.46094,125.80078
1714560551,175.0391,35.42969,125.80078
1714560552,175.0391,35.42969,125.80078
1714560553,175.0391,35.42969,125.80078
1714560554,175.0391,35.42969,125.80078
1714560555,175.0391,35.42969,125.80078
1714560556,174.9727,35.42969,125.80078
1714560557,174.9727,35.42969,125.80078
1714560558,174.9727,35.42969,125.80078
1714560559,174.9727,41.6875,125.80078
1714560560,175.0156,41.81641,125.80078
1714560561,175.0156,41.94531,125.80078
1714560562,175.0156,41.94531,125.80078
1714560563,175.0156,41.94531,125.80078
1714560564,175.0156,41.94531,125.80078
1714560565,175.0156,41.94531,125.80078
1714560566,175.0156,41.94531,125.80078
1714560567,175.0156,41.94531,125.80078
1714560568,175.0156,41.94531,125.80078
1714560569,177.1445,31.58594,126.15234
1714560570,177.3867,31.58594,126.15234
1714560571,179.9648,31.58984,106.01172
1714560572,180.1289,31.58984,106.01172
1714560573,180.1289,31.58984,106.01172
1714560574,180.1289,24.86328,106.01172
1714560575,180.1289,24.86328,106.01172
1714560576,180.418,24.86328,106.01172
1714560577,180.4219,24.86328,106.01172
1714560578,98.91406,24.86328,106.01172
1714560579,99.25781,24.86328,106.01172
1714560580,99.25781,24.86328,106.01172
1714560581,99.25781,24.86328,106.01172
1714560582,99.25781,24.86328,106.01172
1714560583,99.39062,24.86328,106.01172
1714560584,99.39062,24.86328,106.01172
1714560585,99.39062,24.86328,106.01172
1714560586,99.39062,24.86328,106.01172
1714560587,99.39062,24.86328,106.01172
1714560588,99.39062,24.86328,106.01172
1714560589,99.39062,24.86328,106.01172
1714560590,99.39062,24.86328,106.01172
1714560591,99.39062,24.86328,106.01172
1714560592,99.39062,24.86328,106.01172
1714560593,99.39062,24.86328,106.01172
1714560594,99.39062,24.86328,106.01172
1714560595,99.39062,24.86328,106.01172
1714560596,99.39062,24.86328,106.01172
1714560597,99.39062,24.86328,106.01172
1714560598,99.39453,24.86328,106.01172
1714560599,99.41016,24.86328,106.01172
1714560600,99.41016,24.86328,106.01172
